OTUId	BIO3-1	ori3	BIO3-16	BIO1-16	BIO3-24	ori2	BIO1-24	ori1	BIO2-16	BIO3-8	BIO2-1	BIO2-24	BIO1-1	BIO1-8	BIO2-8
OTU_778	30	38	1	3	6	69	2	36	6	12	39	3	54	7	6
OTU_1332	0	9	0	0	0	12	1	3	0	0	1	1	0	0	0
OTU_259	37	221	25	10	59	200	54	108	13	4	45	52	45	2	5
OTU_458	4	18	5	5	32	3	108	8	10	5	4	27	11	3	5
OTU_577	25	151	0	0	2	124	0	78	0	2	35	1	18	0	3
OTU_271	20	174	1	1	3	240	2	136	8	4	14	5	17	2	3
OTU_1231	1	10	0	0	0	4	0	4	0	0	6	0	3	0	0
OTU_567	9	45	0	0	3	41	0	38	0	0	4	0	4	1	0
OTU_788	3	16	0	0	1	23	0	22	1	0	1	0	8	0	0
OTU_1953	0	3	0	0	0	7	0	4	1	0	1	0	1	0	0
OTU_2791	1	3	1	1	0	1	0	2	2	1	1	1	1	0	0
OTU_2022	1	1	0	0	0	3	0	0	0	1	0	0	0	0	0
OTU_902	3	28	0	3	1	35	1	26	1	0	10	0	7	0	0
OTU_3699	20	50	1	3	0	36	0	35	3	2	14	1	17	1	1
OTU_2714	13	68	8	2	6	52	2	45	3	3	13	4	12	1	1
OTU_276	44	248	2	2	7	264	0	206	7	5	43	2	49	2	7
OTU_1542	1	1	1	0	1	2	1	1	2	0	1	0	0	0	0
OTU_935	6	23	1	0	2	25	1	17	0	0	6	0	2	0	0
OTU_2881	3	10	0	2	5	3	2	4	2	3	5	4	5	1	3
OTU_401	16	90	0	3	2	52	1	53	2	2	16	0	12	2	3
OTU_1269	1	7	0	0	0	5	0	2	0	0	0	1	0	0	0
OTU_342	50	5	51	37	29	10	26	7	31	35	46	33	28	36	42
OTU_3414	3	12	0	0	0	13	0	22	0	0	6	0	0	1	0
OTU_1016	29	199	4	5	2	216	1	220	3	6	25	1	40	8	2
OTU_312	63	235	45	31	98	170	127	114	41	15	44	88	45	12	12
OTU_479	19	44	14	16	13	30	9	21	23	10	25	14	21	12	14
OTU_1961	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1
OTU_593	16	32	0	1	4	59	2	21	0	2	9	0	11	0	0
OTU_824	3	15	0	1	0	18	1	12	0	0	3	0	2	4	0
OTU_338	4	170	3	2	0	135	1	73	1	0	11	2	9	2	4
OTU_209	43	347	11	8	21	261	23	212	10	2	36	20	27	2	3
OTU_518	6	65	3	3	7	72	5	58	3	6	9	2	12	4	2
OTU_2897	18	4	14	13	2	1	5	0	9	19	9	3	6	16	29
OTU_305	37	214	1	5	0	129	6	80	1	4	23	2	13	2	1
OTU_620	22	84	1	5	2	106	0	56	10	3	18	0	14	2	1
OTU_1292	9	64	2	4	2	82	3	37	0	20	7	4	8	5	8
OTU_1774	2	5	0	0	0	9	0	6	1	0	2	0	1	0	0
OTU_1662	32	171	1	4	5	171	3	119	3	3	32	1	22	7	4
OTU_2959	1	1	0	0	0	1	0	0	3	0	0	0	0	0	1
OTU_1200	1	13	0	0	0	11	0	5	1	0	1	0	0	0	0
OTU_133	387	618	26	19	20	531	14	394	26	14	226	16	296	9	20
OTU_304	40	247	9	5	7	206	6	125	8	3	34	3	35	5	6
OTU_3640	35	102	13	11	8	81	11	51	15	10	35	7	29	9	9
OTU_963	3	7	3	1	0	7	4	1	2	1	0	1	3	1	2
OTU_368	23	109	0	1	1	98	4	85	6	0	26	0	16	0	3
OTU_3149	38	75	1	2	8	84	2	52	3	1	41	0	31	2	0
OTU_616	8	19	3	5	7	13	4	15	7	1	20	8	11	1	1
OTU_480	20	81	1	0	1	73	0	47	0	1	14	0	21	0	0
OTU_668	6	16	0	0	0	29	0	28	0	1	4	0	1	0	0
OTU_1987	1	1	0	0	0	4	0	4	0	0	1	0	0	0	0
OTU_911	6	17	0	0	0	10	0	13	2	2	1	0	0	0	0
OTU_322	23	154	1	0	6	160	2	88	1	1	18	1	8	1	0
OTU_513	15	74	2	0	1	68	2	52	1	0	24	2	25	0	0
OTU_120	110	417	4	4	3	552	3	491	12	5	81	2	149	2	6
OTU_427	8	66	1	0	1	72	0	41	2	2	8	1	15	0	0
OTU_676	34	257	3	2	2	353	2	213	4	2	45	5	30	1	1
OTU_585	11	81	1	1	0	56	2	41	0	1	12	2	10	0	1
