OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	A	B	C	All
OTU_81	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.1995335	0.1923066	0.2440629	0.211967652374587
OTU_427	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unassigned	Unassigned	Unassigned	0.1751315	0.1591334	0.2849928	0.206419250993308
OTU_76	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	0.1801551	0.1604085	0.2700015	0.203521714026636
OTU_75	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned	0.1717870	0.2007525	0.2375386	0.203359397133016
OTU_80	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas_mexicana	0.1739850	0.2670194	0.1633786	0.201460984712952
OTU_90	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.1436078	0.2772549	0.1732902	0.198050977859516
OTU_86	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Couchioplanes	Couchioplanes_caeruleus_subsp._azureus	0.1270089	0.1746640	0.2782449	0.193305966658249
OTU_84	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.2474338	0.1641732	0.1677967	0.193134569784705
OTU_78	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	Unassigned	0.1944769	0.1670274	0.2138355	0.191779939665366
OTU_91	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.23198157	0.27458685	0.05202297	0.18619712765219
OTU_87	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Unassigned	0.2238185	0.1808160	0.1533343	0.185989582120253
OTU_83	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.2515650	0.1155227	0.1890712	0.185386286792872
OTU_88	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.33651761	0.14486048	0.05869872	0.180025602167016
OTU_89	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Steroidobacter	Steroidobacter_agariperforans	0.1281632	0.2068020	0.2036890	0.179551410741867
OTU_93	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter_brunescens	0.1116717	0.1426447	0.2773164	0.177210912101348
OTU_102	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.1833974	0.1598104	0.1805215	0.174576457145921
OTU_92	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Actinophytocola	Unassigned	0.1696847	0.1609403	0.1858838	0.172169614454926
OTU_101	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.1430246	0.2201745	0.1467383	0.169979135990816
OTU_114	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus	Sandaracinus_amylolyticus	0.1994475	0.1260558	0.1804714	0.168658269275888
OTU_100	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned	0.2275010	0.1602693	0.1152458	0.167671993271518
OTU_96	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia_insulae	0.2514438	0.1249444	0.1223097	0.166232641135194
OTU_106	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces_torulosus	0.08505353	0.27502165	0.13621875	0.165431307707263
