 OTUID	N1_0	N2_0	N3_0	N1_40	N2_40	N3_40	N1_60	N2_60	N3_60	E1_0	E2_0	E3_0	E1_40	E2_40	E3_40	E1_60	E2_60	E3_60
OTU_789	0	1	1	4	1	4	4	1	4	2	1	0	1	1	0	1	0	1
OTU_1561	4	7	2	0	0	1	1	0	0	2	8	1	0	0	0	2	0	0
OTU_1118	3	5	6	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0
OTU_1548	0	0	0	0	0	0	0	0	0	8	5	2	0	1	0	0	0	1
OTU_2416	10	3	5	2	1	2	2	0	0	1	0	2	0	1	1	1	1	0
OTU_1504	3	5	8	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_462	0	0	0	1	0	2	1	0	0	0	2	0	13	0	7	21	1	5
OTU_1347	0	1	0	10	5	5	84	4	35	3	3	2	2	4	1	3	12	40
OTU_1413	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0
OTU_631	1	0	0	2	2	1	9	7	13	1	0	0	1	0	1	0	5	4
OTU_805	0	0	0	2	1	1	0	8	0	0	0	0	0	0	0	0	0	0
OTU_2053	4	4	1	0	1	0	0	0	0	1	1	3	0	0	0	0	1	0
OTU_1933	1	2	0	0	1	2	1	0	0	1	1	0	2	0	3	0	0	0
OTU_1170	3	5	2	1	2	0	4	1	1	20	8	9	0	0	2	27	6	5
OTU_521	2	0	1	7	0	0	10	20	10	0	0	0	1	0	0	0	1	1
OTU_2310	0	4	5	6	12	6	8	4	7	4	3	4	40	33	10	33	19	13
OTU_1176	0	0	1	1	0	0	6	2	0	0	0	0	0	0	0	0	0	0
OTU_310	0	1	0	4	3	3	8	79	21	2	0	0	0	0	1	2	3	1
OTU_694	0	0	0	0	0	1	1	0	0	6	7	4	1	0	1	1	1	1
OTU_1543	0	0	0	0	2	2	0	0	0	2	0	0	2	2	0	3	0	0
OTU_2230	2	2	1	4	0	0	1	0	4	2	3	0	0	0	0	1	3	1
OTU_2417	0	0	3	1	3	0	0	1	0	3	3	1	1	1	3	3	0	1
OTU_676	0	0	0	2	17	1	0	11	0	0	0	0	1	0	0	2	0	0
OTU_733	3	2	4	1	1	1	0	0	3	4	10	6	2	2	3	4	2	3
OTU_786	5	1	6	7	5	2	1	4	2	0	1	0	1	2	0	2	1	0
OTU_644	1	0	1	2	5	3	0	9	0	0	0	0	0	0	0	0	1	0
OTU_638	16	22	9	2	0	5	2	1	0	1	0	0	1	3	3	2	0	1
OTU_1250	0	3	1	4	1	1	0	0	0	0	4	1	0	2	0	1	0	0
OTU_2089	0	2	1	1	1	0	1	2	0	0	2	0	0	0	0	0	0	0
OTU_2500	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0
OTU_540	0	0	0	2	0	0	0	0	0	2	0	0	11	2	3	9	8	4
OTU_817	1	1	1	1	0	1	2	1	2	1	2	0	1	2	3	1	3	2
OTU_570	3	1	2	7	13	5	4	14	5	0	1	0	0	2	1	1	0	0
OTU_546	1	0	1	4	5	5	8	2	1	0	0	2	13	7	10	2	1	2
OTU_880	0	0	1	1	0	2	1	0	0	2	2	0	19	2	0	9	1	1
OTU_661	7	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1106	5	3	7	2	3	1	0	0	0	10	7	10	1	2	2	0	0	3
OTU_1289	1	2	1	3	2	2	3	8	5	0	2	0	0	0	1	1	1	0
OTU_589	2	2	1	3	5	2	4	5	2	2	4	4	2	2	2	1	6	5
OTU_592	1	2	0	1	2	0	4	14	8	0	1	0	0	0	1	0	1	0
OTU_669	0	0	1	2	1	1	1	0	1	3	4	0	1	1	1	1	2	2
OTU_995	1	1	0	0	0	0	0	0	0	8	5	1	1	0	1	0	0	0
OTU_457	47	27	35	2	1	1	0	0	1	2	0	1	0	1	1	0	0	0
OTU_2125	1	1	1	0	0	0	5	0	5	0	0	1	0	0	0	0	0	0
OTU_1900	1	1	0	1	1	5	6	2	0	1	0	3	8	4	6	6	7	4
OTU_2239	0	0	0	0	0	0	1	0	0	48	56	5	0	0	0	2	0	0
OTU_427	0	0	0	0	2	0	3	0	3	0	0	0	4	24	1	1	0	2
OTU_1330	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2
OTU_651	1	0	1	0	0	0	0	0	0	10	3	2	0	0	0	0	0	0
OTU_2193	2	1	0	0	0	1	0	0	0	1	3	1	2	0	0	6	2	1
OTU_1206	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	3	1
OTU_1017	0	0	0	4	4	2	1	16	2	1	1	0	0	0	0	0	0	0
OTU_929	3	4	2	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0
OTU_678	11	15	8	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0
OTU_715	4	3	1	5	4	3	0	7	2	0	0	0	0	1	0	0	0	0
OTU_2486	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0
OTU_2062	1	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_1103	2	2	2	1	1	2	0	1	0	1	2	2	0	0	1	2	0	1
OTU_707	4	1	0	6	2	3	1	4	6	11	3	4	5	0	4	2	3	1
OTU_853	3	3	5	0	2	0	0	2	2	0	0	0	0	0	0	0	0	1
OTU_225	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0
OTU_389	8	4	4	9	7	13	10	3	3	8	4	1	7	9	8	13	6	9
OTU_590	3	3	5	5	6	3	6	3	7	9	11	4	3	2	4	6	2	3
OTU_745	6	0	0	0	0	0	1	0	1	5	4	0	0	0	0	0	0	0
OTU_878	6	2	9	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
OTU_637	0	1	0	1	1	0	0	0	0	6	16	12	2	4	1	4	0	3
OTU_1195	1	3	3	0	1	0	0	0	0	0	5	1	0	1	1	0	0	0
OTU_2436	34	20	18	1	1	0	1	1	0	1	1	2	0	0	1	2	0	0
OTU_2032	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	2
OTU_1643	3	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU_912	5	5	1	1	0	1	2	6	2	1	0	0	1	0	2	0	0	0
OTU_388	0	0	0	13	0	2	11	0	3	2	0	0	0	0	0	0	0	1
OTU_2017	0	4	0	2	2	0	7	1	0	0	1	0	0	0	0	2	1	0
OTU_810	0	1	1	0	0	0	3	9	2	0	0	0	0	0	0	0	0	0
OTU_944	4	3	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
OTU_1160	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_794	0	0	1	9	3	10	2	1	2	0	0	0	0	0	0	0	0	1
OTU_801	0	0	0	11	1	0	3	2	7	0	0	0	0	0	0	0	0	0
OTU_2327	2	1	1	3	7	1	3	0	4	1	0	0	2	0	0	0	0	0
OTU_1573	10	7	13	14	8	14	17	3	15	5	10	7	11	13	11	15	9	13
OTU_406	5	3	0	2	0	0	0	0	4	31	39	23	3	5	3	4	0	0
OTU_1781	2	2	1	3	2	3	36	1	3	1	0	1	3	1	3	67	48	63
OTU_1711	3	1	1	3	4	0	2	0	0	6	11	3	6	8	3	2	4	1
OTU_2212	0	0	2	0	4	34	0	0	0	0	0	3	1	0	0	0	0	0
OTU_859	5	10	4	1	5	0	3	1	1	1	0	0	0	1	0	0	0	1
OTU_2628	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
OTU_1944	4	1	0	13	2	5	13	0	2	0	0	0	0	0	0	0	0	0
OTU_1264	1	1	1	0	0	2	3	2	1	0	0	1	0	2	1	1	1	0
OTU_689	4	1	3	4	1	1	5	2	1	3	3	1	0	2	2	0	4	4
OTU_994	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1696	2	5	4	0	1	1	0	1	6	1	0	0	0	0	0	0	0	0
OTU_2421	3	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0
OTU_2609	0	2	1	0	2	0	3	0	0	10	0	4	2	1	0	0	3	0
OTU_2488	1	1	0	0	1	0	0	0	0	0	3	0	1	1	0	0	0	0
OTU_620	0	6	4	6	2	8	2	4	5	4	5	7	3	6	3	3	7	8
OTU_1327	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	1	0
OTU_2294	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2309	8	6	6	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0
OTU_514	3	3	2	2	3	2	11	1	3	0	2	4	2	0	0	4	2	3
OTU_601	0	0	0	0	8	0	0	1	3	0	0	0	3	1	8	0	0	0
OTU_903	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0
OTU_2485	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_2607	0	1	0	1	0	0	0	0	1	0	0	0	2	1	3	0	0	0
OTU_2583	1	0	0	1	0	2	0	0	1	1	1	0	0	0	0	0	0	0
OTU_706	1	0	0	9	8	9	4	4	11	0	0	0	1	0	1	2	0	4
OTU_2605	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
OTU_390	46	82	53	6	3	3	7	0	7	1	2	1	0	3	0	1	3	1
OTU_962	0	0	0	19	21	19	0	5	1	1	2	0	1	0	1	0	0	1
OTU_704	0	0	0	1	0	0	0	0	1	3	10	7	0	0	4	1	0	1
OTU_1412	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1917	0	0	0	0	0	4	3	0	13	0	0	0	5	0	0	2	0	1
OTU_2631	1	2	1	5	1	1	0	0	0	1	0	0	1	0	0	0	1	0
OTU_852	0	0	0	0	1	0	1	11	0	0	0	0	0	0	0	0	0	2
OTU_1252	4	7	7	1	0	1	0	0	0	1	0	1	2	0	0	0	0	1
OTU_1886	0	0	3	0	0	0	3	0	0	0	2	1	1	0	0	0	1	0
OTU_773	3	4	2	1	0	1	3	2	1	3	1	1	0	1	1	0	2	1
OTU_803	1	0	0	2	3	0	0	2	0	6	6	3	2	0	0	1	2	0
OTU_2787	1	1	0	0	0	0	0	0	1	1	2	3	0	0	0	0	2	0
OTU_510	2	1	2	5	2	3	3	16	20	0	0	1	1	0	1	1	0	0
OTU_451	0	0	0	1	3	1	1	35	1	1	2	0	0	0	0	0	1	1
OTU_494	2	6	4	1	2	3	1	1	4	5	3	3	7	2	6	15	5	8
OTU_931	11	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0
OTU_547	2	4	2	3	2	3	1	4	0	4	4	4	1	2	1	2	4	4
OTU_2262	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
