$index.pair
    name1 name2 D.ij.ruzicka G.ij.ruzicka Ds.ij.ruzicka Gs.ij.ruzicka C.ij.ruzicka
104    0.5681628     0.4663942     0.06082237   3.87553924883479          1
105    0.5453194     0.5113000     0.10382790   4.04364608993082          1
106    0.5627200     0.7703597     0.47484372  -1.49096825150294       -0.9
107    0.6222049     0.5275792     0.24073119   3.26008949279792          1
108    0.5998490     0.4571345     0.09499641   4.53280505772908          1
109    0.4968384     0.8419526     0.68589130 -0.856187312784441       -0.7
110    0.5545758     0.5359121     0.16316587   4.17478136018258          1
111    0.5247130     0.5772615     0.19434342   4.41603284633646          1
112    0.5507697     0.4942849     0.08180299   4.84212278878849          1
113    0.5234601     0.5249674     0.09251413   4.36186609349561          1
114    0.4955831     0.8085424     0.61367206   1.19966144709666        0.8
115    0.5382753     0.5167348     0.10219702   4.13763146077825          1
116    0.5185426     0.5350268     0.10330761    4.8626668352334          1
117    0.5484754     0.6240876     0.31462309   2.71049435827105          1
118    0.5309355     0.5476311     0.14797768   4.04538123495111          1
119    0.5446183     0.5368630     0.14961175   4.03685850304639          1
120    0.5184822     0.5226056     0.07924627   4.06059427870922          1
121    0.5236106     0.5237181     0.09038916   3.88460111467647          1
122    0.5027852     0.7866437     0.57565122   1.29964400191196        0.8
123    0.5386469     0.5078725     0.08636352   4.93269300649569          1
124    0.5343297     0.5120304     0.08676310   4.00804877956504          1
125    0.5541435     0.5650262     0.21505202   3.56746535292671          1
126    0.6492193     0.6900693     0.52261018   1.44183869583218        0.8
127    0.6466002     0.4107196     0.08864795   4.09752958558138          1
128    0.6195578     0.4621255     0.13184139   4.15918557716687          1
129    0.5400165     0.5628465     0.19048126   3.66473172571202          1
130    0.5994384     0.4523114     0.08633041   4.78313435261362          1
131    0.6431016     0.4239271     0.10422714   4.49838576524891          1
132    0.6529365     0.5083857     0.24707176   3.15693405007859          1
133    0.6333333     0.4274294     0.09594115   4.02642382137963          1
134    0.6230849     0.4599899     0.13332823   4.32244611101392          1
135    0.5471089     0.6080448     0.28358835   3.24799598183892          1
136    0.5968009     0.4568682     0.08992811   4.85015901694261          1
137    0.6551393     0.4071719     0.09511136   4.60211849287952          1
138    0.6329020     0.5374182     0.26910997   3.20160578988776          1
139    0.6299036     0.4051282     0.05561461   4.35603205897698          1
140    0.5631945     0.4927728     0.09937466   5.58067761249888          1
141    0.6144909     0.5076596     0.19878336   3.47215811006563          1
142    0.6557070     0.9639449     0.89527798  -0.24455830096727          0
143    0.6491580     0.4052213     0.08376902   4.70388732249837          1
144    0.5390590     0.5098766     0.09077970   5.53601251494375          1
145    0.5673129     0.4670510     0.06057316   4.73767255759184          1
146    0.6009631     0.4409390     0.06972487   5.13860033066632          1
147    0.6008066     0.4908835     0.15261168   4.83852092914855          1
148    0.5274018     0.5323681     0.11332902    3.8982991400203          1
149    0.5674985     0.4895096     0.10045504   4.12110734175359          1
150    0.5418778     0.5653187     0.19782415    3.1873339160965          1
151    0.6286791     0.5181472     0.23354717   3.56952868562429          1
