OUT	SH2	SH3	SH4	SP1	SP2	SP3
OTU1188	0	0	0	0	0	0
OTU1189	0	3	0	0	0	0
OTU119	0	0	0	0	0	4
OTU1190	0	0	0	0	0	0
OTU1191	0	0	0	2	0	0
OTU1192	0	0	0	0	0	0
OTU1193	0	2	0	0	0	0
OTU1194	0	0	0	0	0	0
OTU1195	0	0	2	0	0	0
OTU1196	0	0	0	0	0	0
OTU1197	2	0	1	0	0	0
OTU1198	0	0	0	0	0	0
OTU1199	0	0	1	0	0	0
OTU12	49	42	97	308	24	104
OTU120	6	1	5	2	0	2
OTU1200	0	0	0	0	0	2
OTU1201	0	0	0	0	0	0
OTU1202	0	0	0	0	0	0
OTU1203	0	0	0	0	0	0
OTU1204	0	0	0	0	0	1
OTU1205	0	0	2	0	0	0
OTU1206	0	0	0	0	0	0
OTU1207	0	0	0	0	0	0
OTU1208	0	0	0	0	0	0
OTU1209	1	0	2	0	0	1
OTU121	0	0	0	1	0	2
OTU1210	0	0	0	2	0	0
OTU1211	0	0	0	0	0	2
OTU1212	1	3	2	1	0	0
OTU1213	0	0	0	2	0	0
OTU1214	3	0	1	1	0	1
OTU1215	0	0	2	1	0	1
OTU1216	0	0	0	0	0	0
OTU1217	0	2	0	0	0	0
OTU1218	0	0	1	0	0	2
OTU1219	0	0	0	0	0	0
OTU122	0	0	0	0	0	44
OTU1220	0	0	0	1	0	0
OTU1221	2	0	1	0	0	0
OTU1222	2	0	0	1	0	0
OTU1223	3	0	0	0	0	0
OTU1224	1	1	3	1	0	1
OTU1225	0	0	2	1	0	1
OTU1226	0	0	0	0	0	0
OTU1227	0	0	0	0	0	0
OTU1228	0	0	0	2	0	0
OTU1229	0	0	4	0	0	0
OTU123	0	0	0	0	1	6
OTU1230	3	2	0	3	0	0
OTU1231	0	0	0	0	2	2
OTU1232	0	0	0	0	0	0
OTU1233	2	0	0	0	0	0
OTU1234	0	0	0	0	0	0
OTU1235	0	0	2	0	0	0
OTU1236	0	1	0	0	2	0
OTU1237	0	0	2	0	1	0
OTU1238	0	0	0	0	0	0
OTU1239	0	0	1	0	0	2
OTU124	0	0	0	0	0	0
OTU1240	0	0	0	0	0	0
OTU1241	2	0	1	1	0	4
OTU1242	0	0	0	0	0	0
OTU1243	0	0	0	0	0	0
OTU1244	2	0	0	0	0	0
OTU1245	0	0	0	0	0	0
OTU1246	0	0	1	3	1	0
OTU1247	0	0	0	0	0	0
OTU1248	0	0	0	0	1	0
OTU1249	2	3	1	1	1	1
OTU125	15	12	13	20	9	19
OTU1250	0	0	0	0	0	2
OTU1251	1	0	0	1	0	0
OTU1252	0	2	0	2	0	0
OTU1254	0	0	0	0	0	0
OTU1255	0	0	0	0	0	0
OTU1256	1	1	1	1	0	1
OTU1257	0	0	0	0	0	0
OTU1258	0	1	0	2	0	2
OTU1259	1	0	1	0	0	0
OTU126	2	0	1	11	1	14
OTU1260	1	0	0	0	0	1
OTU1261	0	1	4	1	0	0
OTU1262	0	0	2	1	0	0
OTU1263	0	0	1	0	0	0
OTU1264	0	0	0	0	0	0
OTU1265	0	0	0	0	0	2
OTU1266	0	0	0	1	2	0
OTU1267	2	0	0	0	0	0
OTU1268	297	170	405	16841	1220	992
OTU1269	0	2	0	0	0	0
OTU127	4	3	2	8	1	25
OTU1270	0	0	4	0	0	0
OTU1271	0	0	0	0	0	0
OTU1272	0	0	0	0	0	0
OTU1273	0	0	2	0	0	0
OTU1274	1	0	3	1	0	1
OTU1275	0	0	0	1	0	1
OTU1276	0	0	0	2	0	0
OTU1277	0	0	3	0	0	0
OTU1278	0	0	0	0	0	0
OTU1279	0	0	0	0	0	0
OTU128	2	0	0	5	0	0
